method,pattern,scenario,missing_rate,continuous_rmse_mean,continuous_rmse_std,dataset
BGAIN,MNAR,incomplete_train,0.2,41.693056456734396,12.875998143786527,heart
BGAIN,MNAR,incomplete_train,0.3,37.91777804283372,7.089803324534056,heart
BN_AUG_Imputer,MAR,complete_train,0.1,16.760007776953827,4.504893458473948,heart
BN_AUG_Imputer,MAR,complete_train,0.2,22.084128036219877,6.944122615450973,heart
BN_AUG_Imputer,MAR,complete_train,0.3,17.63369467764007,1.7902081894049358,heart
BN_AUG_Imputer,MAR,incomplete_train,0.1,20.106117579844657,4.502663647590986,heart
BN_AUG_Imputer,MAR,incomplete_train,0.2,18.519140181089092,4.493062727987529,heart
BN_AUG_Imputer,MAR,incomplete_train,0.3,17.08585201010884,2.1501410548068716,heart
BN_AUG_Imputer,MCAR,complete_train,0.1,23.7917089346367,3.4793755304401137,heart
BN_AUG_Imputer,MCAR,complete_train,0.2,20.117804822547544,4.424763485388376,heart
BN_AUG_Imputer,MCAR,complete_train,0.3,18.322400747957154,2.0251855348203134,heart
BN_AUG_Imputer,MCAR,incomplete_train,0.1,18.92152775153864,2.2212185547419394,heart
BN_AUG_Imputer,MCAR,incomplete_train,0.2,21.976918176095907,3.492239476044882,heart
BN_AUG_Imputer,MCAR,incomplete_train,0.3,18.807810739864795,3.2444457011145316,heart
BN_AUG_Imputer,MNAR,complete_train,0.1,15.670351188449933,3.4945594466371372,heart
BN_AUG_Imputer,MNAR,complete_train,0.2,19.796034131582395,4.544697089804498,heart
BN_AUG_Imputer,MNAR,complete_train,0.3,15.581375403791304,1.9475298107560945,heart
BN_AUG_Imputer,MNAR,incomplete_train,0.1,16.283071696186717,3.5113630879885624,heart
BN_AUG_Imputer,MNAR,incomplete_train,0.2,16.150097461210613,3.9050336679896964,heart
BN_AUG_Imputer,MNAR,incomplete_train,0.3,17.19406397006729,4.933199657395091,heart
KNN,MAR,complete_train,0.1,16.48696944357278,5.080553708617761,heart
KNN,MAR,complete_train,0.2,19.62780939717849,3.4864128987627505,heart
KNN,MAR,complete_train,0.3,17.257841402312476,2.148231694356136,heart
KNN,MAR,incomplete_train,0.1,16.48696944357278,5.080553708617761,heart
KNN,MAR,incomplete_train,0.2,19.62780939717849,3.4864128987627505,heart
KNN,MAR,incomplete_train,0.3,17.257841402312476,2.148231694356136,heart
KNN,MCAR,complete_train,0.1,16.855369253111796,2.9001247926595806,heart
KNN,MCAR,complete_train,0.2,17.44081693642331,2.679633494741004,heart
KNN,MCAR,complete_train,0.3,17.455944199926275,1.2267413245652898,heart
KNN,MCAR,incomplete_train,0.1,16.855369253111796,2.9001247926595806,heart
KNN,MCAR,incomplete_train,0.2,17.44081693642331,2.679633494741004,heart
KNN,MCAR,incomplete_train,0.3,17.455944199926275,1.2267413245652898,heart
KNN,MNAR,complete_train,0.1,16.345671949101273,5.157038794404506,heart
KNN,MNAR,complete_train,0.2,16.23571648817172,1.439828702014648,heart
KNN,MNAR,complete_train,0.3,16.419855604441693,3.0603757866249017,heart
KNN,MNAR,incomplete_train,0.1,16.345671949101273,5.157038794404506,heart
KNN,MNAR,incomplete_train,0.2,16.23571648817172,1.439828702014648,heart
KNN,MNAR,incomplete_train,0.3,16.419855604441693,3.0603757866249017,heart
MICE,MAR,complete_train,0.1,32.772661881282986,7.819243822731579,heart
MICE,MAR,complete_train,0.2,28.823598475237684,12.241593486455665,heart
MICE,MAR,complete_train,0.3,23.2707557759338,8.604503697220041,heart
MICE,MAR,incomplete_train,0.1,32.772661881282986,7.819243822731579,heart
MICE,MAR,incomplete_train,0.2,28.823598475237684,12.241593486455665,heart
MICE,MAR,incomplete_train,0.3,23.2707557759338,8.604503697220041,heart
MICE,MCAR,complete_train,0.1,28.679851448286108,7.403364868643138,heart
MICE,MCAR,complete_train,0.2,24.2156339617832,2.1059066444988184,heart
MICE,MCAR,complete_train,0.3,22.344917847557557,2.0983339195041624,heart
MICE,MCAR,incomplete_train,0.1,27.080081472783707,3.8746968635084174,heart
MICE,MCAR,incomplete_train,0.2,29.147720045073424,4.392408783762209,heart
MICE,MCAR,incomplete_train,0.3,25.10353892701881,3.424094235372131,heart
MICE,MNAR,complete_train,0.1,24.262435218758604,2.3337401955400265,heart
MICE,MNAR,complete_train,0.2,25.66689756138961,5.183536374047117,heart
MICE,MNAR,complete_train,0.3,22.079233223158656,3.6948858998574456,heart
MICE,MNAR,incomplete_train,0.1,24.262435218758604,2.3337401955400265,heart
MICE,MNAR,incomplete_train,0.2,25.66689756138961,5.183536374047117,heart
MICE,MNAR,incomplete_train,0.3,22.079233223158656,3.6948858998574456,heart
MeanMode,MAR,complete_train,0.1,15.271811463657082,3.73665628560173,heart
MeanMode,MAR,complete_train,0.2,18.083353573697927,4.277206818029451,heart
MeanMode,MAR,complete_train,0.3,13.544265059020011,2.060913285152312,heart
MeanMode,MAR,incomplete_train,0.1,15.271811463657082,3.73665628560173,heart
MeanMode,MAR,incomplete_train,0.2,18.083353573697927,4.277206818029451,heart
MeanMode,MAR,incomplete_train,0.3,13.544265059020011,2.060913285152312,heart
MeanMode,MCAR,complete_train,0.1,15.912804542579792,2.9012056296940982,heart
